,RouteId,Latitude,Longitude,Average_Temperature,Average_Wind_Speed,Average_Wind_Direction,Average_Cloud_Coverage,Average_Feels_Like_Temperature,Average_Min_Temperature,Average_Max_Temperature,Average_Pressure,Average_Humidity,Average_Main_Weather_Condition,FRC_Traffic,Current_Speed_Traffic,Free_Flow_Speed_Traffic,Current_Travel_Time_Traffic,Road_Closure_Traffic,Gas_Stations,Rest_Stops,Restaurants,Safety_Score
56,Route0,41.37624,-88.61484,2.9699999999999998,2.33,227.5,76.0,0.7025,2.83,2.9699999999999998,1013.625,78.625,Clouds,FRC0,121.0,121.0,443.0,False,5.0,5.0,0.0,0.0
57,Route0,41.36456,-89.19348,3.3725000000000005,3.1537499999999996,289.25,96.5,0.835,3.075,3.3725000000000005,1012.375,77.625,Clouds,FRC0,122.0,122.0,427.0,False,20.0,20.0,0.0,0.5
58,Route0,41.39966,-89.44368,25.74375,2.33875,230.75,38.625,26.6,25.35125,25.74375,1016.0,77.5,Clouds,FRC0,120.0,120.0,251.0,False,20.0,20.0,12.0,0.0
59,Route0,41.39181,-89.65477,2.53875,1.9662500000000003,171.875,67.625,0.84375,2.01375,2.53875,1013.875,78.75,Clouds,FRC0,121.0,121.0,297.0,False,1.0,1.0,0.0,0.0
60,Route0,41.44039,-90.25909,4.61375,6.581249999999999,269.375,99.125,0.23625000000000007,4.58,4.955,1005.5,83.375,Rain,FRC0,118.0,118.0,445.0,False,8.0,8.0,0.0,0.3333333333333333
61,Route0,41.44333,-90.33006,1.605,1.6375,138.875,54.125,0.29500000000000004,1.2925,1.605,1013.625,82.125,Clouds,FRC0,110.0,110.0,118.0,False,20.0,20.0,2.0,0.0
62,Route0,41.51273,-90.34124,1.4137499999999998,1.65,135.625,54.25,0.08999999999999997,1.11875,1.4137499999999998,1013.625,82.125,Clouds,FRC0,116.0,116.0,120.0,False,20.0,20.0,0.0,0.0
63,Route0,41.573,-90.36048,1.4137499999999998,1.65,135.625,54.25,0.08999999999999997,1.11875,1.4137499999999998,1013.625,82.125,Clouds,FRC4,58.0,58.0,535.0,False,20.0,20.0,10.0,0.0
64,Route0,41.59756,-90.44576,1.66125,1.6449999999999998,132.75,54.875,0.36125,1.37,1.66125,1013.5,82.375,Clouds,FRC0,115.0,115.0,203.0,False,20.0,20.0,9.0,0.0
65,Route0,41.59979,-90.59268,1.6012499999999998,1.665,130.75,55.0,0.285,1.3275,1.6012499999999998,1013.5,82.375,Clouds,FRC0,118.0,118.0,261.0,False,20.0,20.0,11.0,0.3333333333333333
66,Route0,41.62602,-90.81651,1.195,1.8875,111.625,56.125,-0.5974999999999999,1.02125,1.195,1013.625,84.0,Clouds,FRC0,120.0,120.0,288.0,False,1.0,1.0,0.0,0.0
67,Route0,41.64646,-91.1615,1.55125,1.9737500000000001,117.75,66.375,-0.1974999999999999,1.3925,1.5762500000000002,1013.625,82.5,Clouds,FRC0,116.0,116.0,260.0,False,14.0,14.0,0.0,0.0
68,Route0,41.68569,-91.55964,1.65625,2.07125,125.375,66.0,-0.16624999999999995,1.5750000000000002,1.78375,1013.625,82.0,Clouds,FRC2,96.0,96.0,330.0,False,20.0,20.0,20.0,0.0
69,Route0,41.69642,-92.26264,4.822500000000001,6.34375,268.0,99.75,0.5999999999999999,4.7700000000000005,5.0237500000000015,1004.375,83.375,Clouds,FRC0,121.0,121.0,272.0,False,9.0,9.0,0.0,0.0
70,Route0,41.67172,-93.44576,1.91375,2.2087499999999998,140.625,66.5,0.08374999999999999,1.9025,2.22375,1012.875,76.375,Clouds,FRC0,102.0,102.0,109.0,False,20.0,20.0,2.0,0.0
71,Route0,41.65325,-93.57696,2.1887499999999998,2.125,187.25,58.25,0.445,2.1725,2.4812499999999997,1012.75,74.875,Clouds,FRC0,114.0,114.0,207.0,False,20.0,20.0,4.0,0.1428571428571428
72,Route0,41.65269,-93.72169,2.0187500000000003,2.1375,187.375,56.0,0.26749999999999996,1.99375,2.3025,1012.75,74.5,Clouds,FRC4,56.0,56.0,126.0,False,20.0,20.0,20.0,0.0
73,Route0,41.62466,-93.77702,2.0187500000000003,2.1375,187.375,56.0,0.26749999999999996,1.99375,2.3025,1012.75,74.5,Clouds,FRC4,76.0,76.0,49.0,False,20.0,20.0,20.0,0.0
74,Route0,41.56522,-93.86545,1.7525,2.1637500000000003,232.125,58.625,0.05874999999999997,1.7225000000000001,2.06625,1012.75,73.75,Clouds,FRC0,119.0,119.0,190.0,False,20.0,20.0,6.0,0.0
75,Route0,41.54508,-93.96918,17.771250000000002,3.13875,273.875,99.0,17.715,17.5075,17.771250000000002,1014.625,80.875,Clouds,FRC0,119.0,119.0,113.0,False,20.0,20.0,3.0,0.0
76,Route0,41.49324,-94.25015,8.298750000000002,4.8125,248.875,44.5,5.59875,7.4675,8.298750000000002,1013.125,67.0,Clouds,FRC0,120.0,120.0,226.0,False,4.0,4.0,0.0,0.0
77,Route0,41.49606,-94.46984,3.63875,2.2887500000000003,142.5,79.125,1.7162499999999998,3.18375,3.63875,1013.375,62.75,Clouds,FRC0,120.0,120.0,278.0,False,5.0,5.0,0.0,0.0
78,Route0,41.49814,-95.10159,1.48,3.0599999999999996,275.5,56.5,-1.5662500000000001,1.27375,1.5499999999999998,1013.0,71.5,Clouds,FRC0,120.0,120.0,288.0,False,2.0,2.0,0.0,0.0
79,Route0,41.49811,-95.55016,11.649999999999999,2.995,278.875,8.25,10.18625,11.21125,11.649999999999999,1016.875,52.875,Clear,FRC0,120.0,120.0,274.0,False,7.0,7.0,1.0,0.0
80,Route0,41.29424,-95.77575,2.03625,3.04,280.25,60.5,-0.9075,1.6124999999999998,2.03625,1012.625,70.625,Clouds,FRC4,36.0,36.0,173.0,False,20.0,20.0,0.0,0.0
81,Route0,41.23215,-95.90683,2.03625,3.04,280.25,60.5,-0.9075,1.6124999999999998,2.03625,1012.625,70.625,Clouds,FRC2,104.0,104.0,36.0,False,20.0,20.0,20.0,0.0
82,Route0,41.22395,-96.02253,1.92625,3.0825,279.5,61.0,-1.085,1.4725,1.92625,1012.5,70.375,Clouds,FRC4,59.0,59.0,99.0,False,20.0,20.0,20.0,0.0
83,Route0,41.18781,-96.10539,1.9337499999999999,3.0825,279.5,61.0,-1.07375,1.4725,1.9337499999999999,1012.5,70.25,Clouds,FRC3,74.0,74.0,65.0,False,20.0,20.0,20.0,0.0
84,Route0,41.11611,-96.21801,17.085,3.2362499999999996,273.125,75.0,16.48375,16.822499999999998,17.085,1017.0,62.625,Clouds,FRC0,124.0,124.0,316.0,False,20.0,20.0,0.0,0.0
85,Route0,41.00233,-96.32465,3.9625,5.0525,263.75,92.0,0.10249999999999998,3.59625,3.9625,1011.25,78.5,Clouds,FRC0,127.0,127.0,240.0,False,20.0,20.0,0.0,0.5
86,Route0,40.94137,-96.42889,14.6175,3.7425,254.375,59.25,13.632499999999999,14.213750000000001,14.6175,1012.375,59.625,Clouds,FRC2,73.0,73.0,43.0,False,17.0,17.0,0.0,0.0
87,Route0,40.89704,-96.63565,1.70625,3.9787500000000002,278.875,51.875,-1.9874999999999998,1.5274999999999999,1.7349999999999999,1012.875,72.25,Clouds,FRC4,42.0,56.0,85.0,False,20.0,20.0,0.0,0.2
88,Route0,40.81683,-96.78149,1.8450000000000002,4.052499999999999,279.0,51.625,-1.8487500000000001,1.6787500000000002,2.01875,1013.0,71.625,Clouds,FRC0,49.0,125.0,709.0,False,20.0,20.0,3.0,0.2
89,Route0,40.82254,-97.20085,1.0475,4.045,280.0,50.125,-2.8537500000000002,0.8474999999999998,1.12125,1013.625,72.875,Clouds,FRC0,124.0,124.0,280.0,False,19.0,19.0,1.0,0.0
90,Route0,40.82212,-97.52857,6.8149999999999995,4.075,267.125,83.75,4.09,6.6499999999999995,6.8325,1009.0,76.625,Clouds,FRC0,124.0,124.0,184.0,False,7.0,7.0,0.0,0.5
91,Route0,40.82232,-98.15532,0.45000000000000007,3.7762499999999997,272.0,34.875,-3.4587499999999993,-0.11374999999999968,0.45000000000000007,1013.875,75.75,Clouds,FRC0,123.0,123.0,281.0,False,0.0,0.0,0.0,0.0
92,Route0,40.81958,-98.38626,1.935,4.55,279.875,23.25,-2.06625,1.36,1.935,1013.75,68.125,Clear,FRC0,125.0,125.0,257.0,False,20.0,20.0,6.0,0.0
93,Route0,40.75202,-98.61468,5.404999999999999,2.9187499999999997,122.875,67.625,3.0987499999999994,5.19375,5.404999999999999,1012.5,81.5,Clouds,FRC0,124.0,124.0,278.0,False,5.0,5.0,1.0,0.0
94,Route0,40.66992,-99.06048,2.3649999999999998,4.12375,283.875,23.0,-1.3149999999999997,1.60875,2.3649999999999998,1012.625,60.125,Clear,FRC2,102.0,102.0,491.0,False,20.0,20.0,20.0,0.5
95,Route0,40.72211,-99.69431,4.5225,2.6225,190.75,63.75,2.7375,3.71375,4.5225,1012.75,82.25,Clear,FRC0,122.0,122.0,511.0,False,0.0,0.0,0.0,0.0666666666666666
96,Route0,40.99302,-100.33223,13.604999999999999,3.71625,148.5,0.0,12.0425,12.19875,13.604999999999999,1018.5,30.375,Clear,FRC0,124.0,124.0,520.0,False,0.0,0.0,0.0,0.0
97,Route0,41.13217,-100.93333,7.28625,4.07375,265.875,94.5,4.6537500000000005,7.034999999999999,7.3012500000000005,1008.125,78.375,Clouds,FRC0,124.0,124.0,534.0,False,2.0,2.0,0.0,0.0
98,Route0,41.08037,-101.88265,3.1975,5.595000000000001,282.75,43.25,-0.6700000000000004,2.8474999999999997,3.21375,1013.75,52.375,Clear,FRC0,124.0,124.0,454.0,False,20.0,20.0,0.0,0.0
99,Route0,41.02224,-102.16295,0.028750000000000164,2.92375,256.625,66.25,-3.115,0.028750000000000164,0.48875000000000013,1012.625,75.75,Clouds,FRC0,125.0,125.0,294.0,False,1.0,1.0,0.0,0.0
